Reference, Value, Footprint, Datasheet
L1,220u,Choke_SMD:Choke_SMD_10.4x10.4_H4.8,
L2,220u,Choke_SMD:Choke_SMD_10.4x10.4_H4.8,
U1,NJU7223DL1,Transistors_SMD:sot428,
F1,PolySW 1.85A,Fuse_Holders_and_Fuses:Fuse_TE5_Littlefuse-395Series,
CON1,BARREL_JACK,Connect:BARREL_JACK,
U3,FDS4935,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
U2,NDS9936,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
U4,MCWI03_12D05,mylib:MINMAX_MCWI03-12x,
Q1,2SK2411,Transistors_SMD:sot404,
C3,8200u,Capacitors_ThroughHole:C_Radial_D18_L36_P7.5,
C1,220u,Capacitors_SMD:c_elec_10x10.5,
C2,47u,Capacitors_SMD:c_elec_10x10.5,
C4,22u(tantalum),Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_HandSoldering,
C5,22u(tantalum),Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_HandSoldering,
C6,22u(tantalum),Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_HandSoldering,
C7,22u(tantalum),Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_HandSoldering,
D1,LED,LEDs:LED-0805,
P1,AMP_POWER,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM3-96mm_Lock_2pin_straight,
R1,10,Resistors_SMD:R_0805_HandSoldering,
R2,10k,Resistors_SMD:R_0805_HandSoldering,
R3,33k,Resistors_SMD:R_0805_HandSoldering,
R4,33(2W),Resistors_ThroughHole:Resistor_Horizontal_RM20mm,
R5,10,Resistors_SMD:R_0805_HandSoldering,
R6,10k,Resistors_SMD:R_0805_HandSoldering,
R7,33k,Resistors_SMD:R_0805_HandSoldering,
R8,4.7k,Resistors_SMD:R_0805_HandSoldering,
C30,22u(tantalum),Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_HandSoldering,
C29,22u(tantalum),Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_HandSoldering,
C32,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C31,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C33,0.1u,Capacitors_SMD:C_0805_HandSoldering,
U10,NDS9936,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
R46,33k,Resistors_SMD:R_0805_HandSoldering,
U8,LME49600,mylib:LME49600,
J3,PHONE OUT,toragi_201305:AJ-1780,
J1,1ch IN,toragi_201305:AJ-1780,
J2,2ch IN,toragi_201305:AJ-1780,
U7,LM1972,Housings_SOIC:SOIC-20_7.5x12.8mm_Pitch1.27mm,
C22,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C15,1u(film),Capacitors_SMD:C_1206_HandSoldering,
C16,1u(film),Capacitors_SMD:C_1206_HandSoldering,
U9,LME49600,mylib:LME49600,
C18,1u(film),Capacitors_SMD:C_1206_HandSoldering,
C19,1u(film),Capacitors_SMD:C_1206_HandSoldering,
C14,1u(film),Capacitors_SMD:C_1206_HandSoldering,
C8,1u(film),Capacitors_SMD:C_1206_HandSoldering,
C9,1u(film),Capacitors_SMD:C_1206_HandSoldering,
C17,1u(film),Capacitors_SMD:C_1206_HandSoldering,
C12,1u(film),Capacitors_SMD:C_1206_HandSoldering,
C13,1u(film),Capacitors_SMD:C_1206_HandSoldering,
C20,1u(film),Capacitors_SMD:C_1206_HandSoldering,
C21,1u(film),Capacitors_SMD:C_1206_HandSoldering,
G1,GND_SUMMING_PT,mylib:GND_SUMMING_PT,
C11,open,Capacitors_SMD:C_1206_HandSoldering,
C10,open,Capacitors_SMD:C_1206_HandSoldering,
D2,02CZ3.3(3.3V),mylib_legacy:SC-59,
D3,02CZ3.3(3.3V),mylib_legacy:SC-59,
P2,OUT ch.L,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P3,OUT ch.R,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
R9,open,Resistors_SMD:R_0805_HandSoldering,
R10,open,Resistors_SMD:R_0805_HandSoldering,
R18,100k,Resistors_SMD:R_0805_HandSoldering,
R22,10,Resistors_SMD:R_0805_HandSoldering,
R23,10k,Resistors_SMD:R_0805_HandSoldering,
R24,10k,Resistors_SMD:R_0805_HandSoldering,
R26,10k,Resistors_SMD:R_0805_HandSoldering,
